method,display_name,targets,planned_runs,provider_responses,valid_runs,model_invalid_runs,transport_ambiguous_runs,model_validity_rate,validity_rate,pipeline_yield,mean_evaluation_cost,mean_normalized_regret,median_normalized_regret,std_normalized_regret,p05_normalized_regret,p95_normalized_regret
ariadne_greedy,Ariadne Greedy,10,10,10,10,0,0,1.0,1.0,1.0,1789.6694323373717,5.933922598907921e-07,0.0,1.7801767796723763e-06,0.0,3.2636574293993504e-06
ariadne_lao,Ariadne LAO*,10,10,10,10,0,0,1.0,1.0,1.0,1789.6680008705619,0.0,0.0,0.0,0.0,0.0
frequency_greedy,Frequency Greedy,10,10,10,10,0,0,1.0,1.0,1.0,1789.6928828768923,1.0471919635813937e-05,0.0,2.9490898156052624e-05,0.0,5.700216573708578e-05
frequency_lao,Frequency LAO*,10,10,10,10,0,0,1.0,1.0,1.0,1790.209968041231,0.0002657792366365031,0.0002754233435948674,0.00017747505882625733,0.0,0.0005319275520345927
bkt_set_greedy,BKT-set Greedy,10,10,10,10,0,0,1.0,1.0,1.0,1790.0932903935907,0.00019951165123289612,0.0002118888492963207,0.00015718018857524115,0.0,0.000443400432970412
bkt_set_lao,BKT-set LAO*,10,10,10,10,0,0,1.0,1.0,1.0,1790.1889240371067,0.0002481484092412696,0.00020864750672761677,0.00018562504210820584,0.0,0.0005623216452343183
dkt_set_greedy,DKT-set Greedy,10,10,10,10,0,0,1.0,1.0,1.0,1789.7746986194325,4.9350794754225125e-05,4.617696933658958e-05,4.293910935869652e-05,0.0,0.00011828164528448673
dkt_set_lao,DKT-set LAO*,10,10,10,10,0,0,1.0,1.0,1.0,1790.0333040255202,0.00018280472502305294,0.00019216342198576753,0.00010399051805753385,0.0,0.0003127313395794323
random_frontier,Random Frontier,10,1000,1000,1000,0,0,1.0,1.0,1.0,1790.222969452128,0.0002633218421025802,0.00028890083980597566,0.00016820966220549503,0.0,0.00047728482823171066
linear_syllabus,Linear Syllabus,10,10,10,10,0,0,1.0,1.0,1.0,1790.36526940921,0.0003384683847856294,0.00037009910918959403,0.00020211860511187152,0.0,0.0005995291083394984
gpt56_sol_zero,GPT-5.6 SOL Zero,10,200,200,200,0,0,1.0,1.0,1.0,1790.0018796111085,0.0001618692414763583,0.00018228066320088917,8.70446360749391e-05,0.0,0.00025302170886042904
gpt56_sol_full,GPT-5.6 SOL Full,10,200,200,200,0,0,1.0,1.0,1.0,1789.8193103588624,6.598669451959e-05,6.0070085289889516e-05,5.8254758322572225e-05,0.0,0.0001566214789809528
deepseek_v4_zero,DeepSeek V4 Pro Zero,10,200,200,195,5,0,0.975,0.975,0.975,1790.1102120861838,0.00020894402030273386,0.0002369804459504061,0.00013106842774868229,0.0,0.0003728412242485989
deepseek_v4_full,DeepSeek V4 Pro Full,10,200,199,197,2,1,0.9899497487437185,0.985,0.985,1789.929133058947,0.0001221360688828779,0.00012016801451720458,8.911769034342077e-05,0.0,0.000240095306265214
